t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
21.0,-0.439,0.092,-5.035,-0.035,0.063,2,14,0,0.149,0,0,0.031,-2.919,0.065,-4.986,0.014,0.099,2,14,0,0.118,0,0,0.068,2.481,0.448,0,0,0.149,0.000,0.000,0.000,0.000
22.0,-0.574,0.117,-5.020,-0.020,0.054,2,14,0,0.125,0,0,0.110,-2.980,0.116,-4.979,0.021,0.032,2,14,0,0.127,0,0,0.147,2.406,0.586,0,0,0.127,0.000,0.000,0.000,0.000
23.0,-0.541,0.161,-4.962,0.038,0.023,2,14,0,0.156,0,0,0.095,-2.988,0.087,-4.983,0.017,0.042,2,14,0,0.125,0,0,0.136,2.449,0.564,0,0,0.156,0.000,0.000,0.000,0.000
24.0,-0.492,0.145,-5.023,-0.023,0.042,2,14,0,0.129,0,0,0.049,-3.007,-0.045,-5.033,-0.033,0.075,2,14,0,0.153,0,0,0.139,2.522,0.513,0,0,0.153,0.000,0.000,0.000,0.000
25.0,-0.501,0.118,-5.023,-0.023,0.036,2,14,0,0.121,0,0,0.039,-2.903,-0.072,-5.078,-0.078,0.078,2,14,0,0.143,0,0,0.084,2.410,0.515,0,0,0.143,0.000,0.000,0.000,0.000
26.0,-0.458,0.105,-4.975,0.025,0.039,2,14,0,0.122,0,0,0.006,-2.818,-0.115,-4.973,0.027,0.060,2,14,0,0.151,0,0,0.137,2.370,0.470,0,0,0.151,0.000,0.000,0.000,0.000
27.0,-0.442,0.076,-4.995,0.005,0.023,2,14,0,0.128,0,0,0.036,-2.812,-0.008,-4.982,0.018,0.071,2,14,0,0.149,0,0,0.068,2.372,0.449,0,0,0.149,0.000,0.000,0.000,0.000
28.0,-0.382,0.063,-4.964,0.036,0.007,2,14,0,0.136,0,0,0.093,-2.773,0.097,-5.048,-0.048,0.054,2,14,0,0.156,0,0,0.137,2.393,0.387,0,0,0.156,0.000,0.000,0.000,0.000
29.0,-0.400,0.057,-5.047,-0.047,0.021,2,14,0,0.176,0,0,0.080,-2.867,0.114,-5.033,-0.033,0.048,2,14,0,0.140,0,0,0.106,2.468,0.404,0,0,0.176,0.000,0.000,0.000,0.000
30.0,-0.391,0.080,-5.065,-0.065,0.052,2,14,0,0.157,0,0,0.079,-2.909,0.109,-5.031,-0.031,0.048,2,14,0,0.124,0,0,0.105,2.518,0.399,0,0,0.157,0.000,0.000,0.000,0.000
31.0,-0.447,0.174,-4.934,0.066,0.059,2,14,0,0.149,0,0,0.072,-2.844,0.086,-5.003,-0.003,0.056,2,14,0,0.119,0,0,0.084,2.400,0.479,0,0,0.149,0.000,0.000,0.000,0.000
32.0,-0.523,0.169,-4.969,0.031,0.035,2,14,0,0.167,0,0,0.086,-2.906,-0.020,-4.984,0.016,0.079,2,14,0,0.159,0,0,0.039,2.391,0.549,0,0,0.167,0.000,0.000,0.000,0.000
33.0,-0.532,0.153,-4.956,0.044,0.030,2,14,0,0.137,0,0,0.083,-2.931,-0.105,-5.020,-0.020,0.037,2,14,0,0.155,0,0,0.125,2.414,0.553,0,0,0.155,0.000,0.000,0.000,0.000
34.0,-0.475,0.071,-4.941,0.059,0.051,2,14,0,0.126,0,0,0.034,-2.940,-0.126,-4.947,0.053,0.021,2,14,0,0.147,0,0,0.147,2.473,0.480,0,0,0.147,0.000,0.000,0.000,0.000
35.0,-0.421,0.052,-4.970,0.030,0.018,2,14,0,0.126,0,0,0.069,-2.924,-0.122,-4.985,0.015,0.069,2,14,0,0.185,0,0,0.139,2.510,0.424,0,0,0.185,0.000,0.000,0.000,0.000
