t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
3.0500,3.0000,0.0000,-10.0000,0.0000,0.0426,-1.5000,2.5980,-10.0000,0.0000,0.0466,-1.5000,-2.5980,-10.0000,0.0000,0.0431,0.0000,0.0000,-5.0000,0.0000,5.1960
3.1000,3.0000,0.0000,-10.0000,0.0000,0.0430,-1.5000,2.5980,-10.0000,0.0000,0.0430,-1.5000,-2.5980,-10.0000,0.0000,0.0427,0.0000,0.0000,-5.0000,0.0000,5.1960
3.1500,3.0000,0.0000,-10.0000,0.0000,0.0425,-1.5000,2.5980,-10.0000,0.0000,0.0436,-1.5000,-2.5980,-10.0000,0.0000,0.0424,0.0000,0.0000,-5.0000,0.0000,5.1960
3.2000,3.0000,0.0000,-10.0000,0.0000,0.0426,-1.5000,2.5980,-10.0000,0.0000,0.0584,-1.5000,-2.5980,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,5.1960
3.2500,3.0000,0.0000,-10.0000,0.0000,0.0428,-1.5000,2.5980,-10.0000,0.0000,0.0466,-1.5000,-2.5980,-10.0000,0.0000,0.0425,0.0000,0.0000,-5.0000,0.0000,5.1960
3.3000,3.0000,0.0000,-10.0000,0.0000,0.0427,-1.5000,2.5980,-10.0000,0.0000,0.0458,-1.5000,-2.5980,-10.0000,0.0000,0.0442,0.0000,0.0000,-5.0000,0.0000,5.1960
3.3500,3.0000,0.0000,-10.0000,0.0000,0.0432,-1.5000,2.5980,-10.0000,0.0000,0.0433,-1.5000,-2.5980,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,5.1960
3.4000,3.0000,0.0000,-10.0000,0.0000,0.0454,-1.5000,2.5980,-10.0000,0.0000,0.0481,-1.5000,-2.5980,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,5.1960
3.4500,3.0000,0.0000,-10.0000,0.0000,0.0452,-1.5000,2.5980,-10.0000,0.0000,0.0593,-1.5000,-2.5980,-10.0000,0.0000,0.0421,0.0000,0.0000,-5.0000,0.0000,5.1960
3.5000,3.0000,0.0000,-10.0000,0.0000,0.0422,-1.5000,2.5980,-10.0000,0.0000,0.0437,-1.5000,-2.5980,-10.0000,0.0000,0.0444,0.0000,0.0000,-5.0000,0.0000,5.1960
3.5500,3.0000,0.0000,-10.0000,0.0000,0.0452,-1.5000,2.5980,-10.0000,0.0000,0.0491,-1.5000,-2.5980,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,5.1960
3.6000,3.0000,0.0000,-10.0000,0.0000,0.0423,-1.5000,2.5980,-10.0000,0.0000,0.0438,-1.5000,-2.5980,-10.0000,0.0000,0.0453,0.0000,0.0000,-5.0000,0.0000,5.1960
3.6500,3.0000,0.0000,-10.0000,0.0000,0.0452,-1.5000,2.5980,-10.0000,0.0000,0.0460,-1.5000,-2.5980,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,5.1960
3.7000,3.0000,0.0000,-10.0000,0.0000,0.0423,-1.5000,2.5980,-10.0000,0.0000,0.0426,-1.5000,-2.5980,-10.0000,0.0000,0.0421,0.0000,0.0000,-5.0000,0.0000,5.1960
3.7500,3.0000,0.0000,-10.0000,0.0000,0.0425,-1.5000,2.5980,-10.0000,0.0000,0.0465,-1.5000,-2.5980,-10.0000,0.0000,0.0430,0.0000,0.0000,-5.0000,0.0000,5.1960
3.8000,3.0000,0.0000,-10.0000,0.0000,0.0452,-1.5000,2.5980,-10.0000,0.0000,0.0491,-1.5000,-2.5980,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,5.1960
3.8500,3.0000,0.0000,-10.0000,0.0000,0.0429,-1.5000,2.5980,-10.0000,0.0000,0.0428,-1.5000,-2.5980,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,5.1960
3.9000,3.0000,0.0000,-10.0000,0.0000,0.0425,-1.5000,2.5980,-10.0000,0.0000,0.0489,-1.5000,-2.5980,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,5.1960
3.9500,3.0000,0.0000,-10.0000,0.0000,0.0429,-1.5000,2.5980,-10.0000,0.0000,0.0427,-1.5000,-2.5980,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,5.1960
4.0000,3.0000,0.0000,-10.0000,0.0000,0.0429,-1.5000,2.5980,-10.0000,0.0000,0.0430,-1.5000,-2.5980,-10.0000,0.0000,0.0427,0.0000,0.0000,-5.0000,0.0000,5.1960
4.0500,3.0000,0.0000,-10.0000,0.0000,0.0425,-1.5000,2.5980,-10.0000,0.0000,0.0638,-1.5000,-2.5980,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,5.1960
4.1000,3.0000,0.0000,-10.0000,0.0000,0.0424,-1.5000,2.5980,-10.0000,0.0000,0.0459,-1.5000,-2.5980,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,5.1960
4.1500,3.0000,0.0000,-10.0000,0.0000,0.0424,-1.5000,2.5980,-10.0000,0.0000,0.0424,-1.5000,-2.5980,-10.0000,0.0000,0.0423,0.0000,0.0000,-5.0000,0.0000,5.1960
4.2000,3.0000,0.0000,-10.0000,0.0000,0.0451,-1.5000,2.5980,-10.0000,0.0000,0.0464,-1.5000,-2.5980,-10.0000,0.0000,0.0429,0.0000,0.0000,-5.0000,0.0000,5.1960
4.2500,3.0000,0.0000,-10.0000,0.0000,0.0429,-1.5000,2.5980,-10.0000,0.0000,0.0465,-1.5000,-2.5980,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,5.1960
4.3000,3.0000,0.0000,-10.0000,0.0000,0.0431,-1.5000,2.5980,-10.0000,0.0000,0.0591,-1.5000,-2.5980,-10.0000,0.0000,0.0429,0.0000,0.0000,-5.0000,0.0000,5.1960
4.3500,3.0000,0.0000,-10.0000,0.0000,0.0457,-1.5000,2.5980,-10.0000,0.0000,0.0437,-1.5000,-2.5980,-10.0000,0.0000,0.0429,0.0000,0.0000,-5.0000,0.0000,5.1960
4.4000,3.0000,0.0000,-10.0000,0.0000,0.0430,-1.5000,2.5980,-10.0000,0.0000,0.0461,-1.5000,-2.5980,-10.0000,0.0000,0.0424,0.0000,0.0000,-5.0000,0.0000,5.1960
4.4500,3.0000,0.0000,-10.0000,0.0000,0.0429,-1.5000,2.5980,-10.0000,0.0000,0.0428,-1.5000,-2.5980,-10.0000,0.0000,0.0431,0.0000,0.0000,-5.0000,0.0000,5.1960
4.5000,3.0000,0.0000,-10.0000,0.0000,0.0428,-1.5000,2.5980,-10.0000,0.0000,0.0470,-1.5000,-2.5980,-10.0000,0.0000,0.0423,0.0000,0.0000,-5.0000,0.0000,5.1960
4.5500,3.0000,0.0000,-10.0000,0.0000,0.0429,-1.5000,2.5980,-10.0000,0.0000,0.0426,-1.5000,-2.5980,-10.0000,0.0000,0.0426,0.0000,0.0000,-5.0000,0.0000,5.1960
4.6000,3.0000,0.0000,-10.0000,0.0000,0.0423,-1.5000,2.5980,-10.0000,0.0000,0.0465,-1.5000,-2.5980,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,5.1960
4.6500,3.0000,0.0000,-10.0000,0.0000,0.0425,-1.5000,2.5980,-10.0000,0.0000,0.0469,-1.5000,-2.5980,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,5.1960
4.7000,3.0000,0.0000,-10.0000,0.0000,0.0426,-1.5000,2.5980,-10.0000,0.0000,0.0429,-1.5000,-2.5980,-10.0000,0.0000,0.0426,0.0000,0.0000,-5.0000,0.0000,5.1960
4.7500,3.0000,0.0000,-10.0000,0.0000,0.0453,-1.5000,2.5980,-10.0000,0.0000,0.0486,-1.5000,-2.5980,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,5.1960
4.8000,3.0000,0.0000,-10.0000,0.0000,0.0449,-1.5000,2.5980,-10.0000,0.0000,0.0433,-1.5000,-2.5980,-10.0000,0.0000,0.0423,0.0000,0.0000,-5.0000,0.0000,5.1960
4.8500,3.0000,0.0000,-10.0000,0.0000,0.0426,-1.5000,2.5980,-10.0000,0.0000,0.0441,-1.5000,-2.5980,-10.0000,0.0000,0.0421,0.0000,0.0000,-5.0000,0.0000,5.1960
4.9000,3.0000,0.0000,-10.0000,0.0000,0.0422,-1.5000,2.5980,-10.0000,0.0000,0.0577,-1.5000,-2.5980,-10.0000,0.0000,0.0424,0.0000,0.0000,-5.0000,0.0000,5.1960
4.9500,3.0000,0.0000,-10.0000,0.0000,0.0427,-1.5000,2.5980,-10.0000,0.0000,0.0473,-1.5000,-2.5980,-10.0000,0.0000,0.0421,0.0000,0.0000,-5.0000,0.0000,5.1960
5.0000,3.0000,0.0000,-10.0000,0.0000,0.0421,-1.5000,2.5980,-10.0000,0.0000,0.0422,-1.5000,-2.5980,-10.0000,0.0000,0.0423,0.0000,0.0000,-5.0000,0.0000,5.1960
5.0500,3.0000,0.0000,-10.0000,0.0000,0.0430,-1.5000,2.5980,-10.0000,0.0000,0.0426,-1.5000,-2.5980,-10.0000,0.0000,0.0425,0.0000,0.0000,-5.0000,0.0000,5.1960
5.1000,3.0000,0.0000,-10.0000,0.0000,0.0425,-1.5000,2.5980,-10.0000,0.0000,0.0465,-1.5000,-2.5980,-10.0000,0.0000,0.0424,0.0000,0.0000,-5.0000,0.0000,5.1960
5.1500,3.0000,0.0000,-10.0000,0.0000,0.0423,-1.5000,2.5980,-10.0000,0.0000,0.0582,-1.5000,-2.5980,-10.0000,0.0000,0.0424,0.0000,0.0000,-5.0000,0.0000,5.1960
5.2000,3.0000,0.0000,-10.0000,0.0000,0.0424,-1.5000,2.5980,-10.0000,0.0000,0.0422,-1.5000,-2.5980,-10.0000,0.0000,0.0425,0.0000,0.0000,-5.0000,0.0000,5.1960
5.2500,3.0000,0.0000,-10.0000,0.0000,0.0422,-1.5000,2.5980,-10.0000,0.0000,0.0472,-1.5000,-2.5980,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,5.1960
5.3000,3.0000,0.0000,-10.0000,0.0000,0.0426,-1.5000,2.5980,-10.0000,0.0000,0.0427,-1.5000,-2.5980,-10.0000,0.0000,0.0429,0.0000,0.0000,-5.0000,0.0000,5.1960
5.3500,3.0000,0.0000,-10.0000,0.0000,0.0428,-1.5000,2.5980,-10.0000,0.0000,0.0464,-1.5000,-2.5980,-10.0000,0.0000,0.0430,0.0000,0.0000,-5.0000,0.0000,5.1960
5.4000,3.0000,0.0000,-10.0000,0.0000,0.0429,-1.5000,2.5980,-10.0000,0.0000,0.0452,-1.5000,-2.5980,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,5.1960
5.4500,3.0000,0.0000,-10.0000,0.0000,0.0426,-1.5000,2.5980,-10.0000,0.0000,0.0467,-1.5000,-2.5980,-10.0000,0.0000,0.0427,0.0000,0.0000,-5.0000,0.0000,5.1960
5.5000,3.0000,0.0000,-10.0000,0.0000,0.0426,-1.5000,2.5980,-10.0000,0.0000,0.0460,-1.5000,-2.5980,-10.0000,0.0000,0.0455,0.0000,0.0000,-5.0000,0.0000,5.1960
5.5500,3.0000,0.0000,-10.0000,0.0000,0.0477,-1.5000,2.5980,-10.0000,0.0000,0.0457,-1.5000,-2.5980,-10.0000,0.0000,0.0446,0.0000,0.0000,-5.0000,0.0000,5.1960
5.6000,3.0000,0.0000,-10.0000,0.0000,0.0449,-1.5000,2.5980,-10.0000,0.0000,0.0465,-1.5000,-2.5980,-10.0000,0.0000,0.0426,0.0000,0.0000,-5.0000,0.0000,5.1960
5.6500,3.0000,0.0000,-10.0000,0.0000,0.0425,-1.5000,2.5980,-10.0000,0.0000,0.0446,-1.5000,-2.5980,-10.0000,0.0000,0.0475,0.0000,0.0000,-5.0000,0.0000,5.1960
5.7000,3.0000,0.0000,-10.0000,0.0000,0.0451,-1.5000,2.5980,-10.0000,0.0000,0.0463,-1.5000,-2.5980,-10.0000,0.0000,0.0454,0.0000,0.0000,-5.0000,0.0000,5.1960
5.7500,3.0000,0.0000,-10.0000,0.0000,0.0447,-1.5000,2.5980,-10.0000,0.0000,0.0611,-1.5000,-2.5980,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,5.1960
5.8000,3.0000,0.0000,-10.0000,0.0000,0.0443,-1.5000,2.5980,-10.0000,0.0000,0.0482,-1.5000,-2.5980,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,5.1960
5.8500,3.0000,0.0000,-10.0000,0.0000,0.0447,-1.5000,2.5980,-10.0000,0.0000,0.0466,-1.5000,-2.5980,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,5.1960
5.9000,3.0000,0.0000,-10.0000,0.0000,0.0452,-1.5000,2.5980,-10.0000,0.0000,0.0450,-1.5000,-2.5980,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,5.1960
5.9500,3.0000,0.0000,-10.0000,0.0000,0.0450,-1.5000,2.5980,-10.0000,0.0000,0.0486,-1.5000,-2.5980,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,5.1960
