t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,d3_x,d3_y,d3_z,d3_poserr,d3_solve_ms,d4_x,d4_y,d4_z,d4_poserr,d4_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
2.9500,-0.0000,-0.0000,-10.0000,0.0000,0.2031,0.0000,3.0000,-10.0000,0.0000,0.0850,-0.0000,-3.0000,-10.0000,0.0000,0.0461,3.0000,0.0000,-10.0000,0.0000,0.0461,-3.0000,0.0000,-10.0000,0.0000,0.0461,0.0000,0.0000,-5.0000,0.0000,3.0000
3.0000,-0.0000,-0.0000,-10.0000,0.0000,0.2092,0.0000,3.0000,-10.0000,0.0000,0.0873,-0.0000,-3.0000,-10.0000,0.0000,0.0478,3.0000,0.0000,-10.0000,0.0000,0.0479,-3.0000,0.0000,-10.0000,0.0000,0.0467,0.0000,0.0000,-5.0000,0.0000,3.0000
3.0500,-0.0000,-0.0000,-10.0000,0.0000,0.2100,0.0000,3.0000,-10.0000,0.0000,0.0833,-0.0000,-3.0000,-10.0000,0.0000,0.0486,3.0000,0.0000,-10.0000,0.0000,0.0474,-3.0000,0.0000,-10.0000,0.0000,0.0467,0.0000,0.0000,-5.0000,0.0000,3.0000
3.1000,-0.0000,-0.0000,-10.0000,0.0000,0.2096,-0.0000,3.0000,-10.0000,0.0000,0.0833,-0.0000,-3.0000,-10.0000,0.0000,0.0458,3.0000,0.0000,-10.0000,0.0000,0.0463,-3.0000,0.0000,-10.0000,0.0000,0.0462,0.0000,0.0000,-5.0000,0.0000,3.0000
3.1500,-0.0000,-0.0000,-10.0000,0.0000,0.2103,-0.0000,3.0000,-10.0000,0.0000,0.0842,-0.0000,-3.0000,-10.0000,0.0000,0.0467,3.0000,0.0000,-10.0000,0.0000,0.0469,-3.0000,0.0000,-10.0000,0.0000,0.0462,0.0000,0.0000,-5.0000,0.0000,3.0000
3.2000,-0.0000,-0.0000,-10.0000,0.0000,0.2114,-0.0000,3.0000,-10.0000,0.0000,0.0833,-0.0000,-3.0000,-10.0000,0.0000,0.0464,3.0000,0.0000,-10.0000,0.0000,0.0470,-3.0000,0.0000,-10.0000,0.0000,0.0469,0.0000,0.0000,-5.0000,0.0000,3.0000
3.2500,-0.0000,-0.0000,-10.0000,0.0000,0.2119,-0.0000,3.0000,-10.0000,0.0000,0.0838,-0.0000,-3.0000,-10.0000,0.0000,0.0459,3.0000,0.0000,-10.0000,0.0000,0.0461,-3.0000,0.0000,-10.0000,0.0000,0.0458,0.0000,0.0000,-5.0000,0.0000,3.0000
3.3000,-0.0000,-0.0000,-10.0000,0.0000,0.2103,-0.0000,3.0000,-10.0000,0.0000,0.0839,-0.0000,-3.0000,-10.0000,0.0000,0.0468,3.0000,0.0000,-10.0000,0.0000,0.0470,-3.0000,0.0000,-10.0000,0.0000,0.0457,0.0000,0.0000,-5.0000,0.0000,3.0000
3.3500,-0.0000,-0.0000,-10.0000,0.0000,0.2104,-0.0000,3.0000,-10.0000,0.0000,0.0859,-0.0000,-3.0000,-10.0000,0.0000,0.0460,3.0000,0.0000,-10.0000,0.0000,0.0476,-3.0000,0.0000,-10.0000,0.0000,0.0468,0.0000,0.0000,-5.0000,0.0000,3.0000
3.4000,-0.0000,-0.0000,-10.0000,0.0000,0.2148,-0.0000,3.0000,-10.0000,0.0000,0.0832,-0.0000,-3.0000,-10.0000,0.0000,0.0462,3.0000,0.0000,-10.0000,0.0000,0.0462,-3.0000,0.0000,-10.0000,0.0000,0.0460,0.0000,0.0000,-5.0000,0.0000,3.0000
3.4500,-0.0000,-0.0000,-10.0000,0.0000,0.2092,-0.0000,3.0000,-10.0000,0.0000,0.0839,-0.0000,-3.0000,-10.0000,0.0000,0.0458,3.0000,0.0000,-10.0000,0.0000,0.0462,-3.0000,0.0000,-10.0000,0.0000,0.0460,0.0000,0.0000,-5.0000,0.0000,3.0000
3.5000,0.0000,-0.0000,-10.0000,0.0000,0.2102,-0.0000,3.0000,-10.0000,0.0000,0.0833,-0.0000,-3.0000,-10.0000,0.0000,0.0467,3.0000,0.0000,-10.0000,0.0000,0.0472,-3.0000,0.0000,-10.0000,0.0000,0.0462,0.0000,0.0000,-5.0000,0.0000,3.0000
3.5500,0.0000,-0.0000,-10.0000,0.0000,0.2095,-0.0000,3.0000,-10.0000,0.0000,0.0834,-0.0000,-3.0000,-10.0000,0.0000,0.0464,3.0000,0.0000,-10.0000,0.0000,0.0461,-3.0000,0.0000,-10.0000,0.0000,0.0459,0.0000,0.0000,-5.0000,0.0000,3.0000
3.6000,0.0000,-0.0000,-10.0000,0.0000,0.2123,-0.0000,3.0000,-10.0000,0.0000,0.0838,-0.0000,-3.0000,-10.0000,0.0000,0.0464,3.0000,0.0000,-10.0000,0.0000,0.0461,-3.0000,0.0000,-10.0000,0.0000,0.0460,0.0000,0.0000,-5.0000,0.0000,3.0000
3.6500,0.0000,-0.0000,-10.0000,0.0000,0.2093,-0.0000,3.0000,-10.0000,0.0000,0.0856,-0.0000,-3.0000,-10.0000,0.0000,0.0460,3.0000,0.0000,-10.0000,0.0000,0.0454,-3.0000,0.0000,-10.0000,0.0000,0.0438,0.0000,0.0000,-5.0000,0.0000,3.0000
3.7000,0.0000,-0.0000,-10.0000,0.0000,0.1999,-0.0000,3.0000,-10.0000,0.0000,0.0790,0.0000,-3.0000,-10.0000,0.0000,0.0465,3.0000,0.0000,-10.0000,0.0000,0.0453,-3.0000,0.0000,-10.0000,0.0000,0.0433,0.0000,0.0000,-5.0000,0.0000,3.0000
3.7500,0.0000,-0.0000,-10.0000,0.0000,0.1965,-0.0000,3.0000,-10.0000,0.0000,0.0791,0.0000,-3.0000,-10.0000,0.0000,0.0441,3.0000,0.0000,-10.0000,0.0000,0.0443,-3.0000,0.0000,-10.0000,0.0000,0.0454,0.0000,0.0000,-5.0000,0.0000,3.0000
3.8000,0.0000,-0.0000,-10.0000,0.0000,0.2011,-0.0000,3.0000,-10.0000,0.0000,0.0797,0.0000,-3.0000,-10.0000,0.0000,0.0439,3.0000,0.0000,-10.0000,0.0000,0.0440,-3.0000,0.0000,-10.0000,0.0000,0.0443,0.0000,0.0000,-5.0000,0.0000,3.0000
3.8500,0.0000,-0.0000,-10.0000,0.0000,0.2030,-0.0000,3.0000,-10.0000,0.0000,0.0795,0.0000,-3.0000,-10.0000,0.0000,0.0436,3.0000,0.0000,-10.0000,0.0000,0.0443,-3.0000,0.0000,-10.0000,0.0000,0.0443,0.0000,0.0000,-5.0000,0.0000,3.0000
3.9000,0.0000,-0.0000,-10.0000,0.0000,0.1990,-0.0000,3.0000,-10.0000,0.0000,0.0841,0.0000,-3.0000,-10.0000,0.0000,0.0438,3.0000,0.0000,-10.0000,0.0000,0.0441,-3.0000,0.0000,-10.0000,0.0000,0.0436,0.0000,0.0000,-5.0000,0.0000,3.0000
3.9500,0.0000,-0.0000,-10.0000,0.0000,0.2080,-0.0000,3.0000,-10.0000,0.0000,0.0833,0.0000,-3.0000,-10.0000,0.0000,0.0462,3.0000,0.0000,-10.0000,0.0000,0.0469,-3.0000,0.0000,-10.0000,0.0000,0.0459,0.0000,0.0000,-5.0000,0.0000,3.0000
